id,Country,Postal Code,Credit Card Type
Mitsubishi,Galant,2009,1FMJK1F59AE902179
Mitsubishi,Montero,1999,1G6DJ8EV1A0094718
Jeep,Grand Cherokee,2005,3LNHL2GC4AR167965
Mitsubishi,Galant,2007,3N1AB7AP8FL238681
Hyundai,Accent,1996,WAUJC68E54A691697
Ferrari,430 Scuderia,2008,1G4GA5EC8AF747626
Chevrolet,Volt,2011,JTJHY7AX6E4997812
Bentley,Continental Super,2011,WA1AY94L97D259993
Ford,E-Series,1996,JA32X2HU9DU624769
Chevrolet,Silverado,1999,WAUMGBFL6CA239879
Ford,E250,2003,YV4852CZ4B1424947
Ferrari,599 GTB Fiorano,2008,WBA3N5C5XEK432378
Hyundai,Sonata,2004,WUAGL78E06A158181
Buick,Hearse,1996,2T1BURHE9EC788792
Pontiac,Firebird,1994,1GYS4KEF9ER861213
Volvo,C70,1998,SCBDC47L67C019535
Chrysler,Voyager,2000,KMHTC6AD8FU464093
Chrysler,300,2008,4A4AP3AU5DE525012
Maybach,57,2008,19UUA656X4A339624
Honda,Civic Si,2006,WBADS434X1G818830
Ford,F150,2004,1G4HP54K134053841
Lexus,GX,2011,WVWED7AJ6AW052760
Dodge,Grand Caravan,2007,JN1AY1AP2DM133522
Volkswagen,Eurovan,2000,YV4902BZXC1436607
BMW,1 Series,2011,1GYFK26249R067566
Mercedes-Benz,R-Class,2008,3D7TP2CT6BG262426
Mercedes-Benz,CLK-Class,2007,ZFBCFABH0FZ860931
Plymouth,Voyager,2000,4USCK73422L378492
Audi,S4,2005,WA1CGAFP3FA445347
Ford,F150,2012,1N4AL2AP4BN172546
Chevrolet,2500,1993,WAUDFAFC8EN291426
Lexus,ES,2003,1G6KD57YX6U984901
GMC,Savana 3500,2005,WAUDK78T68A916624
Saturn,VUE,2002,JM3TB2BV0E0337763
Chevrolet,Corvette,1993,3GYFNDE35ES688450
Ford,Windstar,2002,WAUA2AFD1EN626582
Ford,Expedition EL,2007,WBAGN83403D767841
Lexus,GS,2009,1D4PU4GK8AW736557
Infiniti,QX56,2011,1GYS3DEF2ER248347
Toyota,Camry,1995,19UUA56612A931452
BMW,M,2000,1GYEE637970345681
Volkswagen,Eurovan,2001,JN8CS1MU5EM532682
Lexus,RX,2008,1FMJU1G52AE717870
Pontiac,LeMans,1968,3VW517AT9EM585800
Lexus,RX,2008,WAUKH98E78A925108
Cadillac,XLR,2006,JHMZE2H5XDS308922
Jeep,Patriot,2012,KMHFC4DD8AA260739
Plymouth,Sundance,1992,WP0AA2A91FS610139
Lincoln,Town Car,1991,WBA3D5C52FK082765
Ford,Ranger,2002,1G6AV5S8XE0246666
Chevrolet,3500,1997,WAUUL98E37A967927
Isuzu,Ascender,2003,WBAEP33414P901471
Honda,S2000,2000,WBAEP33493P494577
Mazda,Mazda2,2012,2FMGK5B84EB003278
Ford,Excursion,2000,3D7TP2CT3BG521874
Plymouth,Neon,1998,WA1VMBFE1AD583238
Audi,A6,2006,WAUJC68E53A037037
Geo,Metro,1993,3C3CFFDR7DT462852
Pontiac,GTO,1969,WVWAA7AJ1BW135456
Dodge,Ram Van 3500,2000,WBAPH77599N193912
Acura,NSX,2005,3D73M4EL2BG834383
Ford,Crown Victoria,2009,WA1WMBFE4CD287542
Toyota,Cressida,1992,1FTEX1CM0BK420755
Hummer,H1,2003,KL4CJCSB2DB072820
Chevrolet,Express 3500,2005,WAUEF98E88A066260
Chevrolet,3500,1993,5UXXW5C53F0502431
Dodge,Dakota,2005,3D4PH6FV6AT646549
Ford,Aerostar,1990,1GKS1AKC5FR198215
Toyota,Tacoma,2000,1G6D25ED8B0440607
Porsche,Boxster,2006,3C63D3EL3CG803589
Mercedes-Benz,E-Class,2005,KNADM4A34D6471185
GMC,Sierra 3500,2000,JH4CU26689C090520
Chevrolet,Suburban 2500,2007,5J8TB4H58FL555768
Pontiac,Grand Am,2005,3MZBM1K76FM332413
Toyota,Corolla,2010,WBSWD93598P227483
Lexus,GX,2004,2C4RDGCG5FR673748
Kia,Sephia,1999,5N1AN0NW1FN471844
Toyota,Avalon,1998,1GYEE437290316403
Ford,Probe,1989,3C63DPNLXCG830893
Isuzu,Hombre Space,2000,4T3BA3BB6AU036603
Subaru,Leone,1985,SCFFDCCDXAG214891
Plymouth,Laser,1991,WAUXU64B32N130083
Saab,3-Sep,2001,5N1AN0NU1CN332758
Ford,Econoline E250,1998,3D7JV1EPXAG706025
Mitsubishi,Mighty Max Macro,1993,WAU4GBFB4BN769346
Volvo,V70,1999,WAULC58E15A466407
Hyundai,Elantra,1993,WAUDL74F15N141568
Cadillac,Escalade EXT,2010,SALGS2TF1FA069621
Ford,F250,2011,1FTDS3EL5AD386468
Mitsubishi,Excel,1987,WBAEP33443P678695
Ford,Bronco,1995,JN8BS1MW6DM270246
Lexus,GS,2004,3CZRE3H31BG781905
Suzuki,Equator,2011,WBAEH13507C991654
Ford,Flex,2010,3D73M4CL3BG309402
Jeep,Cherokee,1992,WUARL48H86K953457
Volvo,S80,2001,1C6RD6FP5CS891034
Plymouth,Neon,1997,2HNYD2H25CH099370
Toyota,Corolla,2005,1FTMF1EW3AK541842
Mitsubishi,Galant,1987,WAUSGCFC2CN018835
Chevrolet,Bel Air,1967,1C4NJPBA0FD958459
Pontiac,Montana,2001,2T2BK1BA7BC037209
Volkswagen,Golf,1994,3N1BC1AP2BL033964
Pontiac,Grand Prix,1967,5GAKRDKD1DJ154238
Pontiac,Montana,2000,WAU4FAFR3DA853128
Nissan,Armada,2012,WVWAN7AN1EE716800
Ford,Escort,2002,2T1BU4EE3CC164068
Plymouth,Colt,1993,1N6AA0EKXFN951844
Lincoln,Town Car,2011,WAUBFBFL8AN616888
Mazda,Tribute,2010,1G6DK8E33D0667697
Volvo,S60,2012,1C4AJWAG2FL322923
Ford,F150,2001,2C3CCAGG6CH215349
Chrysler,Sebring,1999,1G6DZ67AX90473753
GMC,Envoy,2005,WBAVL1C5XDV987111
Cadillac,Eldorado,1997,1GYFK56279R149308
Toyota,MR2,1993,WBAUC9C51DV416486
Lexus,LS Hybrid,2012,3N1AB6APXCL522934
Mazda,B-Series,2007,SCFEBBCF9CG939088
GMC,Savana 2500,1999,JN8AZ2KRXET238434
Mitsubishi,Chariot,1989,1G6DZ67A890610219
MG,MGB,1977,2C3CCABG7CH267774
Scion,iQ,2012,4T1BF1FK4CU675767
Porsche,911,2000,JM1DE1KY0E0429416
Chrysler,Concorde,2001,WBANW13598C910707
Mazda,MX-5,2006,WDDUG7JB9FA140112
Mitsubishi,Galant,1986,1GKS2FEJ2CR868223
Ford,Tempo,1990,1GYFK638X7R114421
Dodge,Charger,2012,SALAB2D43DA057664
Nissan,300ZX,1996,WAUNF98P98A303775
Saab,3-Sep,2012,2T1BU4EE3CC726535
Infiniti,G,2004,JA32X2HU8CU972903
GMC,Canyon,2007,3C6TD5ET3CG282272
Volkswagen,Corrado,1990,WAUEH78E97A466079
Lexus,IS-F,2009,3GYFNEEY5BS223390
Honda,Odyssey,1995,1VWAS7A39FC114289
Jeep,Wrangler,1994,19UUB3F57FA448157
Ford,GT500,2008,SALAG2V60EA916292
Subaru,B9 Tribeca,2006,3GYFNKE43AS922964
Cadillac,Escalade,2000,WAUDF78E68A247048
GMC,Sierra 1500,2007,KM8JT3AB2CU570488
Chevrolet,Monte Carlo,2002,3N1CN7AP2EK603828
Nissan,Maxima,1990,WAUDH98E68A006757
Chevrolet,Caprice Classic,1994,JN1CV6FE5DM318069
Oldsmobile,Custom Cruiser,1992,WAUML54B54N680744
Pontiac,Grand Prix Turbo,1990,2C3CCAGG2EH463441
Audi,5000S,1986,JTDKTUD36DD869602
Land Rover,LR2,2008,WBA3X9C52ED639563
Volkswagen,rio,2002,1YVHZ8BHXA5756363
Chevrolet,Suburban,2008,1FTSX2A50AE204728
Chevrolet,Beretta,1992,WBABS33472J964107
Ford,F350,2002,3N1CN7AP8EK232173
Jeep,Wrangler,2004,WAULK98K79N366584
Chevrolet,TrailBlazer,2007,1LNHL9EK2FG884298
BMW,3 Series,2000,WBAFU7C59BD598077
Dodge,Dakota,2003,JN1AZ4FH8FM474166
Audi,Cabriolet,1995,2HNYB1H43CH876677
Saab,5-Sep,2003,WVWBB7AJ0DW981100
Ford,Expedition,2006,WBAYF8C58FD246770
Chevrolet,3500,1996,SCFFDCCD8CG685747
BMW,X3,2011,1C3CC5FB3AN479078
Saab,9000,1998,4JGBF2FE6BA609804
Pontiac,Vibe,2006,5GNRNGEE2A8111223
Dodge,Ram Van 1500,1997,4JGCB2FE5BA968139
Toyota,Paseo,1995,3D7TP2CT4AG654173
Volkswagen,Eos,2009,KMHCT4AE2EU085652
Isuzu,Rodeo,1994,WA1LMAFE4CD607939
Lincoln,Town Car,2007,1G6YV36A475541686
Maserati,GranTurismo,2011,TRUUT28N511730220
GMC,Canyon,2006,WBAFU9C58DD306272
Buick,Special,1962,1FTMF1CWXAF833239
Nissan,Pathfinder,2007,3C6JD7EP4CG975681
Nissan,Sentra,1997,WBANF33536B010027
GMC,Suburban 2500,1993,KM8NU4CC9AU252780
Land Rover,Defender Ice Edition,2010,SCBZK22E12C042428
BMW,X5,2010,19XFB4F23EE325387
Cadillac,SRX,2007,JH4CL96944C665629
Ford,Festiva,1991,1GYS3DEF4BR578129
Mazda,Mazda3,2010,1N6AA0CH2DN570901
Infiniti,FX,2006,5FRYD4H22EB752567
Chevrolet,Caprice Classic,1994,1D4PT6GX9AW169155
Land Rover,Defender 110,1993,KNDMG4C73B6564951
Ford,Crown Victoria,2005,2CTALMEC5B6540819
Audi,A5,2012,5FPYK1F55EB816675
BMW,M5,2008,SCFFDEDN3CG162817
Subaru,XT,1991,WAULF78K69N373597
Audi,A6,2000,WAULFAFR1DA088044
Mazda,929,1995,ZHWGU5AU3CL663395
Acura,RL,2003,2C3CDZFJ1FH985536
Dodge,Grand Caravan,2012,KNAGN4AD6F5037278
Ford,E250,2012,2FMDK3AK9CB921402
Toyota,Highlander,2001,1G6AA5RX4D0450936
Mazda,626,1994,JH4NA21634S845015
Cadillac,DeVille,1993,WBASP4C55CC915364
Chevrolet,3500,1993,WBAUP9C55BV294989
Chevrolet,1500,1993,JM1NC2PF5F0792092
Eagle,Talon,1994,WAUCFAFR4BA611263
Pontiac,6000,1988,WAUDFAFCXEN740654
Ford,Focus ST,2013,WBA3V9C53FP894793
Ford,GT,2005,1G4GC5GC1BF086532
Panoz,Esperante,2005,JN1CV6FE7CM480364
Audi,A4,2005,5UXZV4C57BL522373
Audi,S6,2003,JN8AF5MR7DT661669
Mercury,Sable,1998,1G6AF5S3XD0938412
Subaru,Loyale,1990,WA1C8AFP6DA186752
Ram,Dakota,2011,WA1YD54B82N494317
Audi,Allroad,2005,WBA6B2C58FD882850
Chevrolet,Tahoe,2012,1C3CDFDH0ED632599
Lincoln,MKZ,2009,WA1CV94L19D351877
GMC,Savana 3500,2001,19UYA42411A852037
Volvo,V50,2006,WAUXD68D21A631192
Chevrolet,1500,1996,JN8AF5MR5CT314453
Ford,ZX2,2002,SCFEBBCFXCG881248
Pontiac,Grand Prix,1979,WAUPL58E94A088529
Ford,Taurus,1988,WA1CGAFE5DD689141
Bentley,Azure,2009,WAUGVAFR9CA308114
Buick,Regal,1997,3D7TT2CT6AG713672
Ford,F150,1995,5N1AZ2MH3FN807691
Ford,Probe,1993,JH4CU2F47CC801663
Chevrolet,Tahoe,2005,YV4852CZ7B1915092
Kia,Spectra,2001,ML32A3HJ0EH500935
Chevrolet,HHR,2008,WAUKF78E35A774032
Cadillac,Escalade ESV,2011,1GYUCKEFXAR123894
Ford,Escort,1999,SCFAB02EX9G103343
Dodge,Ram Van B250,1993,1FTEX1EW1AF560383
Toyota,T100,1994,1G4HD5EM5AU368695
Lamborghini,Gallardo,2005,WBAEV53473K091888
Oldsmobile,Alero,2004,5J8TB3H56GL475901
Nissan,Cube,2009,3D4PH1FG3BT870741
Isuzu,Axiom,2002,WAUFEAFM5BA712056
Mercedes-Benz,M-Class,2009,WDDJK6FA6FF912662
Lotus,Elan,1994,3VWJP7AT5CM972225
Buick,Regal,1992,3VW217AU7FM881301
Mazda,MPV,1991,3GTU2YEJ6DG164902
Mitsubishi,Lancer,2005,1GYS3CEF3BR867528
Buick,Riviera,1979,3GYFK52299G988382
Saturn,S-Series,1995,2D4RN5D18AR997123
Volkswagen,Passat,1997,KNADM4A32D6328428
Infiniti,Q,2006,1N6AA0CC4EN932667
Lexus,ES,2005,WBALL5C53CE286830
Ford,Ranger,2006,KMHCT4AE9EU318491
Volkswagen,GTI,1989,1G4GA5GR6CF383193
Mercury,Cougar,1987,1C3CDFBA8DD698659
Jeep,Grand Cherokee,1998,1G6DM57T660967050
Lamborghini,Gallardo,2005,JTDKN3DP3E3771920
Oldsmobile,Aurora,1998,WA1BY74LX9D129782
Mazda,CX-9,2011,5UXKR0C58E0314118
Toyota,Tacoma Xtra,2004,JH4KB16577C969345
Subaru,Legacy,2002,2B3CK2CV5AH713419
Kia,Rio,2003,YV4902BZXB1691675
Toyota,Highlander,2009,WAUEL94F25N968043
Lexus,ES,1989,WAUTFAFH3AN525912
Suzuki,Vitara,2002,JN8AF5MRXDT522202
GMC,Sierra 2500HD,2006,JTDBT4K3XCL872218
Volkswagen,Jetta,2010,1N6AA0CC9BN369983
Cadillac,Escalade EXT,2005,WA1LMAFE3CD377567
BMW,M3,2011,3C6TD5JT9CG523001
Porsche,944,1988,1GKS1EEF6CR484454
Mitsubishi,Galant,2002,WAUGL68E65A234165
Audi,A4,2003,2C3CDXJG5EH027420
Infiniti,G37,2011,5XXGM4A76FG548758
Jeep,Patriot,2011,WAUNG74F49N410399
Ford,Fusion,2010,WA1VGAFPXFA275500
Nissan,240SX,1997,WBAPK7G53BN090380
Volvo,V70,2007,1G4GB5GR3EF720760
Aptera,Type-1h,2010,WVWAP7AN8EE505328
Mercedes-Benz,M-Class,2012,WBA3X5C53ED676467
Jaguar,X-Type,2006,KNADH4A33A6459030
Ford,Mustang,2005,KL4CJBSB5DB456939
Hyundai,Elantra,1992,1G6AE5SX6E0163825
Lincoln,Town Car,1987,JHMZF1C61DS978852
Ford,Crown Victoria,2006,WVWAN7AN1EE171200
Jaguar,X-Type,2002,1G4GB5ER7CF378472
Chrysler,Cirrus,1995,WAUKH78E17A303560
Lexus,SC,1997,1G6DS8EV9A0267026
Lincoln,LS,2006,1GTN1TEX3DZ663557
Chevrolet,Blazer,1998,WP0AB2A81CU844527
Volkswagen,Passat,1988,JN8AE2KP4C9906328
Land Rover,Discovery Series II,1999,5UXWX7C55DL790677
Mazda,RX-7,1989,1G6KD57966U164467
Dodge,Ram 2500,2000,WAUDFAFCXEN668225
Ford,Crown Victoria,1998,5J6TF1H51EL434347
Mitsubishi,Tredia,1984,SCFFDABM4EG752143
Mercury,Tracer,1998,1G4GA5GR6EF804624
Mitsubishi,Pajero,1985,WBA3D3C50FK449327
Maybach,57,2003,WBANE53517C290234
Honda,Accord,1993,5TDDCRFH1ES875747
Kia,Sportage,1999,WAU3FAFR9DA284863
Volkswagen,Jetta,1988,SCBBR9ZAXBC498985
Mercedes-Benz,W201,1991,SALFR2BN7BH794500
Nissan,Pathfinder,1997,WBAVL1C58EV386944
Kia,Sedona,2012,YV1382MW3A2316055
GMC,1500,1992,1D7CE3GK7AS847102
Infiniti,G25,2011,2C4RDGEG3DR772160
Buick,Hearse,1996,YV4952CF1E1551735
BMW,530,2005,SALGR2VF4EA281310
Chevrolet,Astro,2003,WAUBFAFL8CA581841
Audi,A3,2006,2T1KE4EE9CC416595
Nissan,350Z,2008,1G6DC1E35D0881725
Ford,Transit Connect,2012,3VW517AT4FM012157
Jeep,Patriot,2009,WBASN4C5XAC211731
GMC,Sierra 2500,1999,VNKKTUD39FA544907
Suzuki,Samurai,1993,JN8AE2KP4D9779453
GMC,Savana 1500,2008,WBASP4C58CC552946
BMW,X5 M,2011,WAUAF48H69K767676
Ford,F150,1992,WAUDT48H14K841990
Subaru,Forester,2012,JH4CL96997C191777
Toyota,Corolla,2008,4T1BK1EB9EU353271
Cadillac,STS,2011,4T1BF3EK5BU643292
Ford,LTD Crown Victoria,1987,5UXWY3C52F0598997
Honda,Pilot,2011,SCFBB04B88G275876
Ford,E-Series,2001,WBANE73597C636588
BMW,X5,2007,1FTFW1E86AF695335
Ford,Econoline E350,1998,1GD311CG5FF849552
GMC,Jimmy,2000,3N1CN7AP7EL766484
Ford,F350,2000,WBAYF8C57FD362493
Pontiac,Grand Prix,1987,3C63DRLL5CG734202
Bentley,Continental,2007,WBAVB73547P386565
Ford,Thunderbird,1972,1FTEX1C88AF114624
GMC,Jimmy,2000,5UXKR6C52E0594556
Ford,Mustang,1968,2V4RW3D11AR209125
Pontiac,GTO,1968,JN1CV6FE9AM831465
Toyota,Highlander,2003,SCFAD22353K529434
Pontiac,Grand Prix,1979,2T3BF4DV0CW082462
Volvo,V50,2007,WBAYM1C58DD427765
Chevrolet,Express 1500,2007,3D7JB1EP6AG826364
Toyota,Corolla,2001,WA1CM94L99D195607
Audi,RS4,2007,3N1CN7AP9EL027598
Plymouth,Voyager,1999,5J8TB4H51GL887228
Jeep,Grand Cherokee,2003,1G6DF8EG2A0109729
GMC,2500 Club Coupe,1993,1FTEW1CM9EK968485
Ford,C-MAX Hybrid,2013,2HNYD18622H894971
Honda,Civic,2004,JN1AZ4EH7DM901772
Isuzu,Amigo,1992,1G4PS5SKXF4474443
Infiniti,Q,2002,1G6AW5SXXE0532747
Honda,Prelude,1995,5GAKVCED9BJ638446
Dodge,Ram 3500,1994,YV1672MK5D2241358
Mazda,MX-6,1989,WVGEP9BP7FD657407
Buick,Park Avenue,2003,WBA3B3C58DF262445
Saab,5-Sep,2002,JTEBU5JR8C5156524
